simulation,mass1,radius1,logg1,mass2,radius2,logg2
00000,1.26648,1.56591,4.15113,1.65581,2.35569,3.91284
00001,1.05792,3.12166,3.47375,1.29743,4.91313,3.16844
00002,1.26568,1.20650,4.37734,1.88374,3.31784,3.67138
00003,1.14194,5.42675,3.02663,1.69478,5.92670,3.12156
00004,1.36362,2.27420,3.85910,1.66189,1.93353,4.08597
00005,1.26314,1.70276,4.07721,0.87053,1.11706,4.28170
00006,1.09653,1.35207,4.21609,0.15091,1.10110,3.53313
00007,1.17845,1.59815,4.10214,0.20327,2.17420,3.07153
00008,1.37475,3.16766,3.57481,0.53265,3.70300,3.02740
00009,1.30886,5.84943,3.02073,0.50527,1.16489,4.00902
00010,1.21756,0.61690,4.94313,0.33096,1.48666,3.61343
00011,1.33043,0.92264,4.63200,1.39234,0.75330,4.82788
00012,1.28067,3.84028,3.37678,1.03630,2.61183,3.61966
00013,1.03340,4.03488,3.24067,0.99750,2.38736,3.68114
00014,1.04286,1.06807,4.39910,0.93067,1.95540,3.82439
00015,1.31559,0.64559,4.93727,0.49113,1.50096,3.77653
00016,1.02270,4.46833,3.14753,0.86170,3.40560,3.30903
00017,1.17200,2.17728,3.83117,1.23318,4.66007,3.19231
00018,1.27999,1.37497,4.26869,0.82972,0.66731,4.70834
00019,1.28298,1.58218,4.14778,1.20834,4.94094,3.13264
00020,1.36807,0.77531,4.79522,1.28799,1.01824,4.53228
00021,1.18179,5.66886,3.00362,1.09853,0.68743,4.80443
00022,1.40028,2.09590,3.94154,0.22662,0.73315,4.06299
00023,1.17223,1.37534,4.23026,0.16278,1.40396,3.35495
00024,1.38321,2.10305,3.93326,1.11384,0.60964,4.91475
00025,1.02706,2.89746,3.52563,1.04931,0.85807,4.59192
00026,1.21881,1.26469,4.32003,1.62075,4.01955,3.43943
00027,1.18687,4.03448,3.30090,0.60018,2.50520,3.41866
00028,1.24602,1.92943,3.96274,1.26839,0.96461,4.57261
00029,1.34793,5.79745,3.04126,1.55082,2.26234,3.91951
00030,1.09099,1.82246,3.95457,1.46051,3.32134,3.55995
00031,1.24884,2.05539,3.90879,1.27132,1.33742,4.28979
00032,1.05379,3.43697,3.38847,1.57476,0.95467,4.67558
00033,1.13751,3.16783,3.49250,1.49244,2.94657,3.67333
00034,1.27954,4.00924,3.33900,0.58532,2.71255,3.33870
00035,1.00320,0.85346,4.57709,0.27630,1.07632,3.81557
00036,1.32991,0.80223,4.75329,0.17202,2.09545,3.03110
00037,1.20788,3.60307,3.40675,0.17757,0.29224,4.75595
00038,1.05368,1.67759,4.01140,0.94780,4.50414,3.10756
00039,1.19156,3.81060,3.35220,1.65221,5.56431,3.16531
00040,1.38361,2.69208,3.71891,0.16095,1.31046,3.40992
00041,1.00063,4.01339,3.23132,1.36364,1.48482,4.22942
00042,1.38690,0.78838,4.78664,1.87922,6.47132,3.09006
00043,1.14343,0.65198,4.86780,1.61608,3.31187,3.60638
00044,1.21846,1.31320,4.28722,1.41643,5.22746,3.15268
00045,1.29730,0.74425,4.80767,0.54178,0.38623,4.99819
00046,1.32823,0.61031,4.99024,1.24862,2.57854,3.71175
00047,1.09816,0.55789,4.98563,0.59118,1.24375,4.02032
00048,1.35167,5.31662,3.11767,0.44524,1.23240,3.90516
00049,1.38132,0.71929,4.86455,2.03771,0.79015,4.95179
00050,1.23385,1.35155,4.26767,0.75741,0.60053,4.76033
00051,1.37695,5.29101,3.12991,1.14927,4.93797,3.11139
00052,1.26982,5.08918,3.12851,1.74433,1.06798,4.62257
00053,1.28880,5.36729,3.08874,1.81059,6.34985,3.09036
00054,1.15916,0.63786,4.89276,0.58762,1.94595,3.62890
00055,1.03296,0.68429,4.78167,1.17847,0.78220,4.72275
00056,1.31324,2.64431,3.71179,1.76268,2.46415,3.90090
